#     BLOCK:   ACTUAL_H:    H_AVE:      ERROR:
         336   -0.426617   -0.444711  0.00043444
         337    -0.45326   -0.444736 0.000433891
         338   -0.448467   -0.444747 0.000432747
         339    -0.43537    -0.44472 0.000432354
         340   -0.438538   -0.444702 0.000431465
         341   -0.439351   -0.444686 0.000430485
         342   -0.449505     -0.4447 0.000429456
         343   -0.449958   -0.444715 0.000428478
         344   -0.460899   -0.444762 0.000429807
         345   -0.449213   -0.444775 0.000428755
         346   -0.441888   -0.444767 0.000427597
         347   -0.435899   -0.444741 0.000427128
         348   -0.450024   -0.444757  0.00042617
         349   -0.441747   -0.444748 0.000425036
         350   -0.447801   -0.444757 0.000423911
         351   -0.447789   -0.444765 0.000422791
         352   -0.454689   -0.444794 0.000422529
         353   -0.440561   -0.444782 0.000421502
         354   -0.446039   -0.444785 0.000420326
         355   -0.435972    -0.44476 0.000419875
         356   -0.462125   -0.444809 0.000421519
         357   -0.443848   -0.444806 0.000420347
         358   -0.436664   -0.444784 0.000419788
         359   -0.435883   -0.444759  0.00041935
         360       -0.45   -0.444773 0.000418438
         361   -0.444287   -0.444772 0.000417281
         362   -0.456371   -0.444804 0.000417356
         363    -0.44972   -0.444818 0.000416426
         364   -0.438195   -0.444799  0.00041568
         365   -0.433163   -0.444768 0.000415762
         366   -0.444685   -0.444767 0.000414626
         367   -0.445854    -0.44477 0.000413506
         368    -0.44207   -0.444763 0.000412448
         369   -0.454521   -0.444789 0.000412177
         370    -0.44772   -0.444797 0.000411139
         371   -0.439864   -0.444784 0.000410246
         372   -0.438874   -0.444768 0.000409451
         373   -0.448268   -0.444777  0.00040846
         374   -0.454165   -0.444803 0.000408139
         375   -0.444103   -0.444801 0.000407055
         376   -0.448232    -0.44481 0.000406074
         377    -0.42122   -0.444747  0.00040979
         378   -0.433972   -0.444719 0.000409696
         379   -0.433693    -0.44469 0.000409646
         380   -0.443196   -0.444686 0.000408587
         381   -0.447949   -0.444694 0.000407605
         382   -0.423935    -0.44464 0.000410144
         383   -0.440243   -0.444628 0.000409234
         384    -0.45019   -0.444643 0.000408425
         385   -0.462523   -0.444689 0.000409996
         386   -0.458895   -0.444726 0.000410582
         387    -0.44201   -0.444719 0.000409581
         388   -0.453978   -0.444743  0.00040922
         389   -0.445958   -0.444746  0.00040818
         390    -0.46112   -0.444788 0.000409287
         391   -0.437014   -0.444768 0.000408723
         392   -0.427245   -0.444724 0.000410118
         393   -0.445869   -0.444727 0.000409084
         394   -0.454756   -0.444752 0.000408837
         395    -0.43295   -0.444722 0.000408893
         396   -0.454009   -0.444746 0.000408532
         397   -0.464686   -0.444796 0.000410579
         398   -0.439493   -0.444782 0.000409764
         399   -0.447307   -0.444789 0.000408786
         400   -0.451861   -0.444806 0.000408146
         401    -0.44443   -0.444806 0.000407129
         402    -0.44595   -0.444808 0.000406126
         403    -0.44192   -0.444801 0.000405182
         404   -0.446954   -0.444807 0.000404214
         405   -0.440655   -0.444796 0.000403346
         406   -0.451701   -0.444813 0.000402711
         407   -0.436072   -0.444792 0.000402293
         408    -0.44785   -0.444799 0.000401377
         409   -0.429573   -0.444762 0.000402119
         410   -0.422795   -0.444708 0.000404691
         411   -0.453337   -0.444729 0.000404251
         412   -0.437224   -0.444711  0.00040368
         413   -0.439306   -0.444698 0.000402915
         414   -0.451083   -0.444714 0.000402237
         415   -0.441133   -0.444705  0.00040136
         416   -0.440923   -0.444696 0.000400498
         417   -0.444097   -0.444694  0.00039954
         418    -0.44665   -0.444699 0.000398612
         419   -0.454439   -0.444722 0.000398338
         420   -0.462289   -0.444764 0.000399579
         421   -0.439717   -0.444752  0.00039881
         422   -0.447571   -0.444759 0.000397921
         423   -0.443573   -0.444756  0.00039699
         424   -0.437788    -0.44474 0.000396393
         425   -0.442287   -0.444734 0.000395503
         426   -0.421219   -0.444679 0.000398408
         427    -0.44057   -0.444669 0.000397591
         428   -0.454469   -0.444692 0.000397321
         429   -0.447773   -0.444699 0.000396459
         430   -0.447255   -0.444705 0.000395582
         431   -0.442891   -0.444701 0.000394686
         432   -0.448045   -0.444709 0.000393849
         433   -0.451973   -0.444725 0.000393296
         434   -0.443032   -0.444721 0.000392409
         435   -0.437074   -0.444704 0.000391901
         436    -0.43068   -0.444672  0.00039232
         437   -0.449622   -0.444683 0.000391586
         438     -0.4396   -0.444671 0.000390864
         439   -0.435033    -0.44465 0.000390589
         440   -0.429755   -0.444616 0.000391166
         441   -0.440022   -0.444605 0.000390417
         442   -0.451792   -0.444621 0.000389873
         443   -0.439294   -0.444609 0.000389178
         444   -0.444232   -0.444609 0.000388302
         445   -0.455256   -0.444633 0.000388166
         446   -0.439634   -0.444621 0.000387458
         447   -0.439106   -0.444609 0.000386787
         448   -0.437558   -0.444593 0.000386244
         449   -0.439475   -0.444582 0.000385552
         450   -0.460548   -0.444617 0.000386324
         451   -0.439026   -0.444605 0.000385667
         452   -0.440428   -0.444596 0.000384924
         453   -0.449009   -0.444605 0.000384198
         454   -0.445768   -0.444608  0.00038336
         455   -0.447265   -0.444614 0.000382562
         456   -0.442977    -0.44461  0.00038174
         457   -0.449127    -0.44462 0.000381032
         458   -0.452756   -0.444638 0.000380614
         459   -0.444855   -0.444638 0.000379785
         460   -0.431105   -0.444609 0.000380097
         461   -0.437331   -0.444593 0.000379601
         462   -0.454664   -0.444615 0.000379404
         463    -0.43911   -0.444603 0.000378771
         464   -0.458678   -0.444633 0.000379167
         465   -0.441951   -0.444628 0.000378396
         466   -0.458322   -0.444657 0.000378723
         467   -0.432607   -0.444631  0.00037879
         468   -0.442022   -0.444626 0.000378022
         469   -0.454426   -0.444647 0.000377793
         470    -0.45068   -0.444659 0.000377207
         471   -0.416275   -0.444599  0.00038119
         472   -0.432345   -0.444573 0.000381266
         473   -0.454537   -0.444594 0.000381041
         474   -0.444167   -0.444593 0.000380238
         475   -0.434358   -0.444572 0.000380048
         476   -0.454708   -0.444593 0.000379845
         477   -0.439194   -0.444582 0.000379218
         478   -0.448425    -0.44459  0.00037851
         479   -0.439393   -0.444579 0.000377875
         480   -0.447181   -0.444584 0.000377126
         481   -0.458331   -0.444613 0.000377424
         482   -0.441645   -0.444607 0.000376691
         483   -0.455958    -0.44463 0.000376643
         484   -0.453176   -0.444648 0.000376279
         485    -0.43815   -0.444635 0.000375741
         486   -0.454843   -0.444656 0.000375555
         487   -0.454527   -0.444676  0.00037533
         488   -0.446591    -0.44468 0.000374582
         489   -0.447424   -0.444685 0.000373858
         490   -0.448889   -0.444694 0.000373193
         491   -0.433374   -0.444671 0.000373145
         492   -0.440017   -0.444661 0.000372506
         493   -0.456166   -0.444685 0.000372481
