#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         375     0.32673    0.324895 0.000723947
         376    0.319763    0.324882  0.00072215
         377    0.297271    0.324809 0.000723939
         378    0.301105    0.324746 0.000724734
         379     0.32049    0.324735 0.000722909
         380    0.308573    0.324692 0.000722257
         381    0.321994    0.324685 0.000720396
         382    0.302356    0.324627 0.000720878
         383    0.313401    0.324597 0.000719591
         384    0.315597    0.324574 0.000718099
         385    0.295414    0.324498 0.000720217
         386    0.313205    0.324469 0.000718945
         387    0.296032    0.324395 0.000720833
         388    0.329604    0.324409   0.0007191
         389    0.350384    0.324476 0.000720345
         390    0.325121    0.324477   0.0007185
         391    0.320396    0.324467 0.000716738
         392    0.334507    0.324492 0.000715367
         393    0.328863    0.324503 0.000713633
         394    0.309685    0.324466 0.000712812
         395    0.347101    0.324523 0.000713307
         396    0.320862    0.324514 0.000711566
         397    0.286526    0.324418 0.000716178
         398    0.337392    0.324451  0.00071512
         399    0.351782    0.324519 0.000716601
         400    0.318877    0.324505 0.000714949
         401    0.341211    0.324547 0.000714379
         402    0.315231    0.324524 0.000712977
         403    0.321752    0.324517 0.000711241
         404    0.336031    0.324545 0.000710052
         405     0.32176    0.324538 0.000708332
         406    0.314914    0.324515 0.000706983
         407    0.326523     0.32452 0.000705264
         408    0.356386    0.324598 0.000707847
         409    0.332889    0.324618 0.000706406
         410    0.324036    0.324617 0.000704685
         411    0.329766    0.324629 0.000703081
         412    0.338951    0.324664 0.000702234
         413    0.326311    0.324668 0.000700545
         414    0.336928    0.324698 0.000699478
         415      0.3441    0.324744 0.000699353
         416    0.321899    0.324737 0.000697706
         417    0.315441    0.324715 0.000696389
         418    0.319755    0.324703 0.000694824
         419    0.325394    0.324705 0.000693167
         420    0.313452    0.324678 0.000692034
         421     0.33623    0.324706 0.000690934
         422    0.306309    0.324662 0.000690671
         423    0.308398    0.324624 0.000690108
         424    0.345925    0.324674 0.000690306
         425    0.315209    0.324652 0.000689041
         426    0.342363    0.324693 0.000688677
         427    0.330308    0.324706  0.00068719
         428    0.335522    0.324732 0.000686049
         429    0.319237    0.324719 0.000684569
         430    0.334586    0.324742 0.000683361
         431    0.345359    0.324789 0.000683448
         432    0.302958    0.324739 0.000683732
         433     0.32214    0.324733 0.000682179
         434    0.315547    0.324712 0.000680936
         435    0.329017    0.324722 0.000679442
         436    0.340858    0.324759 0.000678891
         437    0.338401     0.32479 0.000678055
         438    0.323003    0.324786 0.000676519
         439    0.322126     0.32478 0.000675005
         440    0.301654    0.324727 0.000675514
         441      0.3401    0.324762 0.000674881
         442    0.319841    0.324751 0.000673446
         443    0.322971    0.324747 0.000671938
         444    0.317923    0.324732   0.0006706
         445    0.320325    0.324722 0.000669167
         446    0.329981    0.324733  0.00066777
         447    0.324295    0.324732 0.000666277
         448    0.321845    0.324726 0.000664821
         449    0.302941    0.324677 0.000665108
         450    0.328801    0.324687 0.000663693
         451    0.330459    0.324699 0.000662345
         452    0.331521    0.324715 0.000661052
         453    0.312965    0.324689 0.000660101
         454    0.318536    0.324675 0.000658786
         455    0.349076    0.324729 0.000659518
         456    0.336144    0.324754 0.000658546
         457    0.324734    0.324754 0.000657105
         458    0.307506    0.324716 0.000656749
         459    0.323102    0.324713 0.000655327
         460    0.326464    0.324716 0.000653914
         461    0.337217    0.324743 0.000653057
         462    0.300791    0.324692 0.000653698
         463    0.323865     0.32469 0.000652289
         464    0.311824    0.324662 0.000651472
         465    0.313531    0.324638 0.000650511
         466    0.316646    0.324621 0.000649341
         467    0.317508    0.324606 0.000648129
         468    0.305328    0.324565 0.000648052
         469    0.325366    0.324566 0.000646672
         470    0.301115    0.324516 0.000647219
         471    0.320819    0.324509 0.000645892
         472    0.340549    0.324543 0.000645417
         473    0.299142    0.324489 0.000646283
         474    0.345732    0.324534 0.000646471
         475    0.316579    0.324517 0.000645327
         476    0.323013    0.324514 0.000643979
         477    0.336625    0.324539  0.00064313
         478    0.346138    0.324584  0.00064337
         479    0.339341    0.324615 0.000642764
         480    0.295749    0.324555 0.000644232
         481    0.299201    0.324502 0.000645045
         482    0.300161    0.324452  0.00064568
         483    0.334319    0.324472 0.000644667
         484    0.330338    0.324484 0.000643449
         485    0.340938    0.324518 0.000643016
         486    0.306134     0.32448 0.000642804
         487    0.331916    0.324496 0.000641666
         488    0.331804    0.324511 0.000640526
         489    0.317359    0.324496 0.000639383
         490    0.323119    0.324493 0.000638084
         491    0.343691    0.324532 0.000637981
         492    0.313532     0.32451 0.000637076
