#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         452   -0.771949    -0.76931 0.000721882
         453   -0.761974   -0.769294  0.00072047
         454   -0.764304   -0.769283 0.000718967
         455   -0.796341   -0.769343 0.000719842
         456   -0.779122   -0.769364 0.000718582
         457   -0.773862   -0.769374 0.000717077
         458   -0.760262   -0.769354 0.000715788
         459   -0.767957   -0.769351 0.000714235
         460   -0.757568   -0.769325 0.000713141
         461   -0.774548   -0.769337 0.000711684
         462   -0.755455   -0.769307 0.000710778
         463   -0.762975   -0.769293 0.000709374
         464   -0.770502   -0.769295  0.00070785
         465   -0.755482   -0.769266 0.000706951
         466   -0.774968   -0.769278  0.00070554
         467   -0.750114   -0.769237 0.000705221
         468    -0.74735    -0.76919 0.000705263
         469   -0.779792   -0.769213 0.000704122
         470   -0.751795   -0.769176 0.000703598
         471   -0.737094   -0.769108 0.000705394
         472   -0.772894   -0.769116 0.000703945
         473   -0.753678   -0.769083 0.000703213
         474   -0.789899   -0.769127 0.000703099
         475   -0.750937   -0.769089 0.000702661
         476   -0.777721   -0.769107 0.000701419
         477   -0.775819   -0.769121  0.00070009
         478   -0.794563   -0.769174 0.000700645
         479   -0.778734   -0.769194 0.000699467
         480    -0.74293   -0.769139 0.000700146
         481   -0.757532   -0.769115 0.000699107
         482   -0.741806   -0.769059 0.000699948
         483   -0.790277   -0.769102 0.000699876
         484   -0.783513   -0.769132 0.000699063
         485   -0.779089   -0.769153 0.000697923
         486   -0.760977   -0.769136  0.00069669
         487   -0.786443   -0.769171 0.000696165
         488   -0.778395    -0.76919 0.000694995
         489   -0.764783   -0.769181 0.000693632
         490   -0.772008   -0.769187 0.000692241
         491   -0.777065   -0.769203 0.000691017
         492   -0.753549   -0.769171 0.000690344
         493   -0.759834   -0.769152 0.000689204
         494   -0.758557   -0.769131 0.000688142
         495   -0.762586   -0.769118 0.000686879
         496   -0.759772   -0.769099 0.000685753
         497   -0.750411   -0.769061 0.000685403
         498   -0.773815   -0.769071 0.000684093
         499   -0.777913   -0.769089 0.000682952
         500   -0.774753     -0.7691  0.00068168
         501    -0.78304   -0.769128 0.000680887
         502   -0.780599   -0.769151 0.000679914
         503   -0.770978   -0.769154 0.000678572
         504   -0.767462   -0.769151 0.000677234
         505   -0.776959   -0.769166 0.000676069
         506   -0.761221   -0.769151 0.000674915
         507   -0.752154   -0.769117 0.000674416
         508     -0.7648   -0.769109 0.000673142
         509    -0.77763   -0.769125 0.000672028
         510   -0.759884   -0.769107 0.000670954
         511   -0.770071   -0.769109 0.000669644
         512   -0.770151   -0.769111 0.000668339
         513   -0.766699   -0.769106 0.000667053
         514   -0.764249   -0.769097 0.000665822
         515   -0.766864   -0.769093 0.000664543
         516   -0.746009   -0.769048  0.00066476
         517    -0.79312   -0.769094 0.000665102
         518   -0.767216   -0.769091 0.000663828
         519   -0.771902   -0.769096 0.000662571
         520   -0.754098   -0.769067 0.000661925
         521   -0.790002   -0.769108 0.000661873
         522   -0.752897   -0.769077 0.000661333
         523   -0.749656   -0.769039  0.00066111
         524     -0.7768   -0.769054 0.000660014
         525   -0.749993   -0.769018 0.000659755
         526   -0.803875   -0.769084  0.00066182
         527   -0.773341   -0.769092 0.000660614
         528    -0.77706   -0.769107 0.000659535
         529   -0.779424   -0.769127 0.000658576
         530   -0.749969   -0.769091 0.000658325
         531   -0.787412   -0.769125 0.000657989
         532   -0.785708   -0.769156  0.00065749
         533   -0.765611    -0.76915  0.00065629
         534   -0.776898   -0.769164 0.000655221
         535   -0.762017   -0.769151 0.000654133
         536   -0.762629   -0.769139 0.000653026
         537   -0.761654   -0.769125 0.000651958
         538   -0.763575   -0.769114 0.000650828
         539   -0.789154   -0.769152 0.000650682
         540   -0.754758   -0.769125 0.000650022
         541   -0.783862   -0.769152 0.000649391
         542   -0.771861   -0.769157 0.000648212
         543   -0.785736   -0.769188 0.000647737
         544   -0.740515   -0.769135 0.000648688
         545   -0.761297   -0.769121 0.000647657
         546   -0.749266   -0.769084 0.000647491
         547   -0.757413   -0.769063 0.000646658
         548   -0.748211   -0.769025 0.000646597
         549   -0.776987   -0.769039 0.000645582
         550   -0.744308   -0.768994 0.000645972
         551    -0.77953   -0.769014 0.000645083
         552   -0.751818   -0.768982 0.000644666
         553   -0.761177   -0.768968 0.000643654
         554   -0.752908   -0.768939 0.000643145
         555   -0.769058    -0.76894 0.000641986
         556   -0.789771   -0.768977 0.000641924
         557   -0.786306   -0.769008 0.000641525
         558   -0.781505   -0.769031 0.000640766
         559   -0.766083   -0.769025 0.000639641
         560   -0.772068   -0.769031 0.000638522
         561   -0.789016   -0.769066 0.000638377
         562   -0.777382   -0.769081 0.000637413
         563   -0.738982   -0.769028 0.000638519
         564   -0.764921    -0.76902 0.000637428
         565   -0.780771   -0.769041 0.000636639
         566   -0.774511   -0.769051 0.000635587
         567   -0.768367    -0.76905 0.000634468
         568   -0.778515   -0.769066 0.000633569
         569   -0.748093   -0.769029 0.000633527
         570   -0.773842   -0.769038 0.000632472
         571   -0.757038   -0.769017 0.000631713
         572   -0.796401   -0.769065  0.00063242
         573    -0.77109   -0.769068 0.000631327
         574   -0.805541   -0.769132 0.000633416
         575   -0.786702   -0.769162 0.000633051
         576   -0.770053   -0.769164 0.000631954
         577   -0.768571   -0.769163  0.00063086
         578   -0.769373   -0.769163 0.000629768
         579   -0.760224   -0.769148  0.00062887
         580   -0.775483   -0.769159 0.000627881
         581   -0.753605   -0.769132  0.00062737
         582    -0.77838   -0.769148 0.000626494
         583   -0.764206   -0.769139 0.000625476
         584   -0.756291   -0.769117 0.000624792
         585   -0.783686   -0.769142  0.00062422
         586   -0.760074   -0.769127 0.000623347
         587   -0.769725   -0.769128 0.000622286
         588   -0.747434   -0.769091  0.00062232
         589   -0.733288    -0.76903 0.000624225
         590   -0.786253   -0.769059 0.000623849
         591   -0.764939   -0.769052 0.000622833
         592   -0.772029   -0.769057 0.000621801
         593   -0.770637    -0.76906 0.000620758
         594   -0.782396   -0.769082 0.000620119
         595   -0.781622   -0.769104 0.000619435
         596   -0.762936   -0.769093 0.000618482
         597   -0.795066   -0.769137 0.000618974
         598   -0.748406   -0.769102 0.000618909
         599   -0.775095   -0.769112 0.000617957
         600   -0.753062   -0.769085 0.000617505
         601   -0.761069   -0.769072 0.000616622
         602   -0.774781   -0.769081 0.000615671
         603   -0.793786   -0.769122 0.000616011
         604   -0.782758   -0.769145 0.000615405
         605    -0.74802    -0.76911 0.000615377
         606   -0.794967   -0.769153 0.000615839
         607   -0.776429   -0.769165 0.000614941
         608   -0.799867   -0.769215    0.000616
         609   -0.772101    -0.76922 0.000615007
         610   -0.771713   -0.769224 0.000614012
         611   -0.747644   -0.769189 0.000614022
         612   -0.762754   -0.769178 0.000613109
         613   -0.745385   -0.769139 0.000613336
         614   -0.761771   -0.769127 0.000612454
         615   -0.759233   -0.769111  0.00061167
         616   -0.767814   -0.769109  0.00061068
         617   -0.774444   -0.769118 0.000609752
         618    -0.77324   -0.769125 0.000608802
         619   -0.783555   -0.769148 0.000608264
         620   -0.762951   -0.769138 0.000607365
         621   -0.782158   -0.769159 0.000606749
         622   -0.794883     -0.7692 0.000607182
         623   -0.767861   -0.769198 0.000606211
         624   -0.747345   -0.769163  0.00060625
         625   -0.775831   -0.769174 0.000605374
         626   -0.728103   -0.769108 0.000607952
         627   -0.770105    -0.76911 0.000606984
         628   -0.785256   -0.769135 0.000606562
         629   -0.743612   -0.769095 0.000606953
         630   -0.738851   -0.769047 0.000607885
         631   -0.765593   -0.769041 0.000606947
         632   -0.765547   -0.769036 0.000606011
         633   -0.768815   -0.769035 0.000605054
         634   -0.765857    -0.76903  0.00060412
         635   -0.772665   -0.769036 0.000603196
         636   -0.751562   -0.769009 0.000602873
         637   -0.768716   -0.769008 0.000601927
         638   -0.755094   -0.768986 0.000601378
         639   -0.751183   -0.768959 0.000601082
         640   -0.753565   -0.768934 0.000600624
         641   -0.774511   -0.768943  0.00059975
         642   -0.776103   -0.768954  0.00059892
         643    -0.79394   -0.768993 0.000599247
         644   -0.756744   -0.768974 0.000598619
         645   -0.761702   -0.768963 0.000597797
         646   -0.792588   -0.768999 0.000597989
         647   -0.774214   -0.769008 0.000597119
         648   -0.777761   -0.769021  0.00059635
         649   -0.792102   -0.769057 0.000596491
         650   -0.796312   -0.769099 0.000597045
         651   -0.734334   -0.769045 0.000598512
         652   -0.748422   -0.769013 0.000598429
         653   -0.784415   -0.769037 0.000597977
         654   -0.779561   -0.769053 0.000597279
         655   -0.761661   -0.769042 0.000596474
         656   -0.771084   -0.769045 0.000595573
         657   -0.768488   -0.769044 0.000594667
         658   -0.760429   -0.769031 0.000593907
         659   -0.774764    -0.76904  0.00059307
         660   -0.786687   -0.769066 0.000592774
