#     BLOCK:  ACTUAL_PSI:     PSI_AVE:      ERROR:
          13       -1.05    0.345154  0.00765518
          13       -0.95    0.378231  0.00541765
          13       -0.85    0.402692  0.00903929
          13       -0.75    0.431462   0.0101507
          13       -0.65    0.414462  0.00867399
          13       -0.55    0.393154  0.00731768
          13       -0.45    0.349769  0.00760189
          13       -0.35    0.345462  0.00535333
          13       -0.25    0.308308  0.00596676
          13       -0.15    0.305615  0.00354771
          13       -0.05    0.282923  0.00519497
          13        0.05    0.290077  0.00560796
          13        0.15    0.277538  0.00644284
          13        0.25    0.297154  0.00708181
          13        0.35    0.341846  0.00745626
          13        0.45    0.361154  0.00689211
          13        0.55    0.388077  0.00491401
          13        0.65    0.427769  0.00997165
          13        0.75       0.416    0.008234
          13        0.85    0.400923  0.00840855
          13        0.95    0.391615  0.00996653
          13        1.05    0.340077   0.0062601
          13        1.15    0.281923  0.00842331
          13        1.25    0.238077  0.00824367
          13        1.35    0.177385   0.0074948
          13        1.45    0.123231  0.00351691
          13        1.55       0.085    0.004202
          13        1.65   0.0566923  0.00221182
          13        1.75   0.0362308  0.00386021
          13        1.85   0.0189231  0.00225704
          13        1.95   0.0116154  0.00151341
          14       -1.95   0.0173571  0.00234435
          14       -1.85   0.0199286  0.00182238
          14       -1.75       0.038  0.00259119
          14       -1.65   0.0647143   0.0028002
          14       -1.55   0.0890714   0.0031743
          14       -1.45    0.131429  0.00442939
          14       -1.35    0.185143  0.00529907
          14       -1.25    0.230429  0.00677157
          14       -1.15    0.289929  0.00602077
          14       -1.05    0.347143  0.00736224
          14       -0.95      0.3815  0.00593567
          14       -0.85    0.400643  0.00862283
          14       -0.75    0.429286  0.00965604
          14       -0.65      0.4145   0.0080545
          14       -0.55    0.394929  0.00700689
          14       -0.45    0.349643  0.00705995
          14       -0.35    0.342714  0.00563193
          14       -0.25    0.309143   0.0055987
          14       -0.15    0.304286  0.00353471
          14       -0.05    0.283786    0.004895
          14        0.05       0.288  0.00557875
          14        0.15    0.276429  0.00607749
          14        0.25    0.299286  0.00688938
          14        0.35    0.344143  0.00726879
          14        0.45    0.360714  0.00641382
          14        0.55    0.386286  0.00487855
          14        0.65    0.428857  0.00931854
          14        0.75    0.415714  0.00765082
          14        0.85      0.3965  0.00889551
          14        0.95    0.390929  0.00927827
          14        1.05       0.341  0.00588061
          14        1.15    0.281714  0.00782424
          14        1.25       0.239  0.00770635
          14        1.35       0.178  0.00698468
          14        1.45    0.124929   0.0036526
          14        1.55   0.0837857  0.00407353
          14        1.65   0.0559286  0.00218171
          14        1.75       0.036  0.00359137
          14        1.85   0.0190714  0.00210069
          14        1.95   0.0116429  0.00140555
          15       -1.95      0.0172  0.00219332
          15       -1.85   0.0197333  0.00171131
          15       -1.75      0.0378  0.00242615
          15       -1.65   0.0632667  0.00296418
          15       -1.55      0.0884  0.00303286
          15       -1.45      0.1308  0.00417846
          15       -1.35    0.183333  0.00524567
          15       -1.25    0.232067  0.00651526
          15       -1.15      0.2888  0.00572418
          15       -1.05    0.346333  0.00691579
          15       -0.95    0.382733  0.00566664
          15       -0.85    0.400933  0.00805286
          15       -0.75    0.432333  0.00948105
          15       -0.65      0.4162  0.00769485
          15       -0.55      0.3942  0.00657754
          15       -0.45    0.349667  0.00658933
          15       -0.35    0.343067  0.00526748
          15       -0.25      0.3076  0.00543389
          15       -0.15    0.301933  0.00400607
          15       -0.05      0.2846   0.0046359
          15        0.05      0.2884  0.00522115
          15        0.15      0.2772  0.00572107
          15        0.25      0.2994  0.00643104
          15        0.35    0.342733  0.00691952
          15        0.45      0.3624   0.0062038
          15        0.55    0.391733  0.00695923
          15        0.65      0.4252  0.00938756
          15        0.75      0.4146  0.00722145
          15        0.85    0.401867  0.00978837
          15        0.95        0.39  0.00870606
          15        1.05      0.3384  0.00603604
          15        1.15       0.284  0.00762918
          15        1.25    0.237867  0.00727545
          15        1.35    0.176933  0.00659998
          15        1.45      0.1242    0.003481
          15        1.55   0.0840667  0.00381164
          15        1.65      0.0556  0.00206085
          15        1.75      0.0354   0.0034017
          15        1.85       0.019  0.00196186
          15        1.95      0.0118  0.00132061
          16       -1.95   0.0166875  0.00211527
          16       -1.85   0.0194375  0.00162973
          16       -1.75    0.037375  0.00231144
          16       -1.65   0.0641875  0.00291845
          16       -1.55   0.0879375  0.00287835
          16       -1.45    0.131062  0.00392555
          16       -1.35    0.182438  0.00499372
          16       -1.25    0.229563   0.0065717
          16       -1.15    0.288313  0.00538714
          16       -1.05    0.347312   0.0065525
          16       -0.95     0.38325  0.00533598
