#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
          20    0.038774   0.0373285 0.000389195
           1   0.0341892   0.0341892           0
           2    0.032758   0.0334736 0.000506006
           3   0.0305384   0.0324952 0.000867164
           4   0.0332996   0.0326963 0.000673288
           5   0.0330808   0.0327732 0.000543004
           6    0.036016   0.0333137 0.000669462
           7   0.0332872   0.0333099 0.000573835
           8    0.033768   0.0333671 0.000504955
           9   0.0341252   0.0334514  0.00045582
          10    0.035894   0.0336956 0.000471161
          11   0.0342888   0.0337496 0.000431403
          12   0.0350352   0.0338567 0.000408539
          13      0.0312   0.0336523 0.000425165
          14     0.03573   0.0338007 0.000419899
          15    0.037432   0.0340428 0.000456385
          16   0.0360888   0.0341707 0.000445415
          17   0.0345496    0.034193 0.000419772
          18   0.0302592   0.0339744 0.000449757
          19   0.0353668   0.0340477 0.000432014
          20   0.0331396   0.0340023 0.000412793
           1   0.0312512   0.0312512           0
           2    0.031394   0.0313226 5.04874e-05
           3   0.0303248     0.03099 0.000273645
           4   0.0324436   0.0313534  0.00037572
           5   0.0334116    0.031765 0.000475293
           6   0.0323864   0.0318686 0.000407204
           7   0.0339732   0.0321693 0.000446435
           8    0.031182   0.0320458  0.00040733
           9   0.0322108   0.0320642 0.000362484
          10   0.0312432   0.0319821 0.000335403
          11     0.03265   0.0320428  0.00031036
          12   0.0283436   0.0317345 0.000409936
          13   0.0310188   0.0316795 0.000382082
          14   0.0311996   0.0316452 0.000356324
          15   0.0308652   0.0315932 0.000336342
          16   0.0356376    0.031846  0.00039916
          17   0.0303612   0.0317586 0.000385117
          18   0.0309812   0.0317154 0.000366136
          19   0.0306136   0.0316575 0.000351428
          20   0.0328792   0.0317185 0.000339124
           1   0.0285752   0.0285752           0
           2   0.0332072   0.0308912  0.00163766
           3   0.0288404   0.0302076  0.00122618
           4   0.0296148   0.0300594 0.000928545
           5   0.0335348   0.0307545 0.000968666
           6   0.0290668   0.0304732 0.000847077
           7   0.0282192   0.0301512 0.000784884
           8   0.0313232   0.0302977 0.000700313
           9    0.029166    0.030172 0.000633689
          10   0.0327092   0.0304257 0.000619034
          11   0.0292708   0.0303207 0.000571592
          12   0.0283436   0.0301559 0.000547189
          13   0.0292764   0.0300883 0.000509263
          14   0.0322056   0.0302395 0.000494835
          15   0.0266852   0.0300026 0.000515467
          16   0.0282712   0.0298943 0.000494478
          17   0.0291732   0.0298519 0.000467207
          18   0.0326772   0.0300089 0.000466872
          19   0.0293052   0.0299719 0.000443767
          20   0.0232756    0.029637 0.000533126
           1     0.02657     0.02657           0
           2   0.0301792   0.0283746  0.00127604
           3   0.0265276   0.0277589  0.00098812
           4   0.0265456   0.0274556 0.000786272
           5   0.0260544   0.0271754 0.000677119
           6    0.027324   0.0272001 0.000564719
           7   0.0268936   0.0271563  0.00048574
           8   0.0285016   0.0273245 0.000453195
           9   0.0269552   0.0272835 0.000404694
          10   0.0276936   0.0273245 0.000366297
          11   0.0257092   0.0271776 0.000361234
          12   0.0278536    0.027234 0.000335494
          13   0.0261944    0.027154 0.000319075
          14    0.028998   0.0272857 0.000322325
          15   0.0257376   0.0271825  0.00031693
          16   0.0243536   0.0270057 0.000342911
          17   0.0268176   0.0269946 0.000322918
          18   0.0265388   0.0269693  0.00030597
          19    0.027686    0.027007 0.000292182
          20   0.0270604   0.0270097 0.000277585
