#     BLOCK:   ACTUAL_H:    H_AVE:      ERROR:
         621    0.155792    0.146681  0.00242353
         622   0.0768693    0.146569  0.00242223
         623    0.171023    0.146609  0.00241866
         624    0.169669    0.146645  0.00241507
         625    0.144207    0.146642   0.0024112
         626    0.134879    0.146623  0.00240743
         627   0.0875257    0.146529  0.00240543
         628    0.219612    0.146645  0.00240441
         629    0.189203    0.146713  0.00240154
         630    0.178581    0.146763  0.00239826
         631   0.0785008    0.146655   0.0023969
         632    0.185674    0.146717   0.0023939
         633    0.181826    0.146772  0.00239077
         634    0.184493    0.146832  0.00238773
         635    0.135661    0.146814  0.00238404
         636    0.193307    0.146887  0.00238141
         637    0.192175    0.146958  0.00237873
         638    0.154612     0.14697  0.00237504
         639    0.131615    0.146946  0.00237144
         640    0.202943    0.147034  0.00236935
         641   0.0439125    0.146873  0.00237111
         642   0.0566335    0.146732  0.00237158
         643    0.140047    0.146722  0.00236791
         644    0.172183    0.146761  0.00236456
         645    0.146049     0.14676   0.0023609
         646    0.234154    0.146896  0.00236112
         647   0.0498002    0.146746  0.00236223
         648    0.206944    0.146838  0.00236041
         649    0.167306     0.14687  0.00235699
         650    0.166215      0.1469  0.00235355
         651    0.156971    0.146915  0.00234998
         652    0.147025    0.146915  0.00234638
         653    0.134627    0.146897  0.00234286
         654    0.058684    0.146762  0.00234316
         655    0.241703    0.146907  0.00234406
         656    0.129071    0.146879  0.00234064
         657    0.105986    0.146817  0.00233791
         658   0.0901629    0.146731  0.00233594
         659    0.154431    0.146743  0.00233243
         660    0.138288     0.14673  0.00232893
         661    0.100161     0.14666  0.00232647
         662    0.316726    0.146916   0.0023371
         663    0.190547    0.146982   0.0023345
         664    0.151143    0.146988  0.00233099
         665     0.19397    0.147059  0.00232855
         666    0.186342    0.147118   0.0023258
         667    0.078376    0.147015   0.0023246
         668    0.154146    0.147026  0.00232114
         669    0.198889    0.147103  0.00231897
         670    0.342569    0.147395  0.00233379
         671    0.223901    0.147509  0.00233309
         672     0.22966    0.147631  0.00233282
         673    0.158417    0.147647  0.00232941
         674    0.210132     0.14774   0.0023278
         675   0.0853378    0.147648  0.00232618
         676    0.124455    0.147613    0.002323
         677   0.0997279    0.147543  0.00232064
         678    0.118342    0.147499  0.00231762
         679    0.177476    0.147544  0.00231463
         680    0.095124    0.147466  0.00231251
         681    0.111524    0.147414  0.00230971
         682    0.110194    0.147359  0.00230697
         683    0.150828    0.147364   0.0023036
         684    0.191089    0.147428  0.00230112
         685     0.11429     0.14738  0.00229827
         686    0.172877    0.147417  0.00229522
         687    0.160929    0.147437  0.00229196
         688    0.172391    0.147473  0.00228892
         689  0.00778629     0.14727  0.00229455
         690    0.106726    0.147211  0.00229198
         691     0.16771    0.147241  0.00228886
         692    0.285195     0.14744  0.00229421
         693   0.0935836    0.147363  0.00229222
         694    0.133593    0.147343    0.002289
         695   0.0923047    0.147264  0.00228708
         696    0.284467    0.147461  0.00229227
         697  0.00321723    0.147254  0.00229831
         698    0.248271    0.147399  0.00229957
         699    0.107452    0.147341  0.00229699
         700   0.0455907    0.147196   0.0022983
         701    0.158209    0.147212  0.00229507
         702   0.0394412    0.147058  0.00229693
         703    0.151251    0.147064  0.00229367
         704     0.17302    0.147101  0.00229071
         705   0.0755859       0.147  0.00228971
         706   0.0927417    0.146923  0.00228775
         707    0.112713    0.146874  0.00228503
         708   0.0861892    0.146789  0.00228341
         709    0.124962    0.146758   0.0022804
         710    0.181016    0.146806  0.00227769
         711    0.104113    0.146746  0.00227528
         712    0.192454     0.14681  0.00227299
         713    0.159762    0.146828  0.00226988
         714    0.141651    0.146821  0.00226671
         715    0.192437    0.146885  0.00226444
         716    0.175327    0.146925  0.00226162
         717    0.184178    0.146977  0.00225907
         718   0.0490485     0.14684  0.00226003
         719     0.28097    0.147027  0.00226458
         720    0.244066    0.147162  0.00226544
         721    0.145195    0.147159   0.0022623
         722   0.0568322    0.147034  0.00226262
         723    0.055096    0.146907  0.00226306
