T:   H:   H_ERR:   MU:   SIGMA:
    0.112982   -0.363169  0.00113943    0.649912    0.592014
    0.111288   -0.369333  0.00116703    0.652958     0.60619
    0.109618   -0.380062  0.00137689    0.664318     0.59683
    0.107974   -0.366837  0.00128338    0.654357    0.597526
    0.106354   -0.357843  0.00134294    0.643933    0.594533
    0.104759    -0.35319    0.001543     0.64763    0.579087
    0.103188   -0.346463   0.0014125    0.643527    0.575811
     0.10164   -0.354325  0.00173566    0.658279    0.563294
    0.100115   -0.360496  0.00148588    0.671852     0.55547
   0.0986135   -0.355975  0.00192668    0.658398    0.564499
   0.0971343   -0.347107  0.00188833    0.658073    0.554431
   0.0956773   -0.342936  0.00142254    0.656308    0.551121
   0.0942421   -0.342936  0.00142254    0.656308    0.551121
   0.0928285   -0.335357  0.00170669     0.66285     0.53751
   0.0914361   -0.344594  0.00172407    0.665893    0.541736
   0.0900645   -0.353043  0.00161241    0.669597    0.547138
   0.0887136   -0.348569  0.00187926    0.669296    0.543332
   0.0873829   -0.345257  0.00158776    0.668322    0.541836
   0.0860721   -0.357951     0.00159    0.682589    0.542621
    0.084781   -0.354631  0.00158203    0.670014    0.550907
   0.0835093   -0.369663  0.00128803    0.671949    0.564987
   0.0822567   -0.369206  0.00142133    0.664389    0.574683
   0.0810228   -0.374647  0.00130166    0.667664    0.579535
   0.0798075   -0.379986  0.00131804    0.674215    0.578808
   0.0786104   -0.378704  0.00147754    0.677945    0.572049
   0.0774312   -0.387129  0.00129631     0.68428    0.579055
   0.0762698   -0.394986   0.0013044    0.696856    0.577204
   0.0751257   -0.406304  0.00106918    0.704333    0.588327
   0.0739988   -0.413285  0.00120599    0.716885    0.591139
   0.0728888   -0.413458 0.000954472    0.710276    0.600069
   0.0717955   -0.416886  0.00128243    0.718005     0.59052
   0.0707186   -0.416886  0.00128243    0.718005     0.59052
   0.0696578   -0.411668  0.00117848    0.719176    0.580556
   0.0686129   -0.405921  0.00132741    0.720625    0.574284
   0.0675837   -0.401464  0.00136402    0.708164    0.575229
     0.06657   -0.397708  0.00153632    0.708403    0.567263
   0.0655714   -0.392776   0.0016316    0.718783    0.555528
   0.0645879   -0.385672  0.00150661    0.721296    0.548143
    0.063619   -0.376818  0.00191279    0.721192    0.540258
   0.0626648   -0.369835  0.00206746    0.729946    0.533779
   0.0617248   -0.353869  0.00206011    0.740179    0.525014
   0.0607989   -0.341516  0.00193277    0.737805    0.519247
   0.0598869   -0.370662  0.00177763    0.745346    0.530318
   0.0589886   -0.361114  0.00211821    0.744906     0.52546
   0.0581038   -0.349839  0.00227436    0.747019    0.518802
   0.0572322   -0.366907  0.00187468    0.755326    0.527819
   0.0563738   -0.360589  0.00235902    0.746166     0.52555
   0.0555282   -0.335219  0.00224816    0.752471    0.514522
   0.0546952   -0.338833  0.00255554     0.76242    0.514334
   0.0538748   -0.349036  0.00229405    0.761926    0.520917
   0.0530667   -0.349036  0.00229405    0.761926    0.520917
   0.0522707   -0.331947  0.00200802    0.753852    0.512132
   0.0514866   -0.304606  0.00230698    0.758371    0.501825
   0.0507143   -0.300304  0.00303794    0.754588    0.500938
   0.0499536   -0.322238  0.00287122     0.74391    0.509254
   0.0492043   -0.337693  0.00247043    0.753901    0.513269
   0.0484662   -0.328067  0.00256047    0.748989    0.508649
   0.0477392   -0.323144  0.00190963    0.754187    0.509801
   0.0470232   -0.325018  0.00246622    0.744716    0.511036
   0.0463178   -0.340234  0.00229039    0.738526    0.516348
    0.045623   -0.339572  0.00234249    0.737089    0.513753
   0.0449387    -0.32336   0.0026315    0.729391    0.509777
   0.0442646   -0.303776  0.00275309    0.731512    0.502251
   0.0436006   -0.312038  0.00321135    0.731146    0.505566
   0.0429466   -0.315775  0.00268622    0.724099    0.508673
   0.0423024   -0.315775  0.00268622    0.724099    0.508673
   0.0416679   -0.308457  0.00264424    0.730067    0.505599
   0.0410429   -0.317535  0.00269263    0.732876    0.506131
   0.0404272   -0.292175  0.00316692    0.732536     0.49743
   0.0398208   -0.292675  0.00311226    0.724504    0.497611
   0.0392235   -0.271348  0.00300827    0.719211    0.492494
   0.0386352   -0.286502  0.00280928    0.723137    0.495648
   0.0380556   -0.290269  0.00264962     0.71866    0.498653
   0.0374848   -0.289812  0.00281011     0.71672    0.497249
   0.0369225   -0.296471   0.0029791     0.72185    0.500365
   0.0363687   -0.296471   0.0029791     0.72185    0.500365
   0.0358232   -0.311361  0.00245904    0.713276    0.508545
   0.0352858   -0.329801  0.00222143    0.718939     0.51515
   0.0347565   -0.336332  0.00218921     0.71526    0.518342
   0.0342352   -0.341941  0.00246906    0.709531    0.520305
   0.0337217   -0.341941  0.00246906    0.709531    0.520305
   0.0332158   -0.342799  0.00234039    0.709125    0.522775
   0.0327176   -0.359329  0.00198872    0.711343    0.531525
   0.0322268   -0.369679  0.00214002    0.714461    0.540229
   0.0317434   -0.379361  0.00183694    0.720218    0.545001
   0.0312673   -0.388616  0.00165664     0.72178    0.551472
   0.0307983   -0.387724   0.0013936    0.716468    0.549838
   0.0303363   -0.393456  0.00149506    0.721595    0.552277
   0.0298812   -0.395751  0.00184344    0.721019    0.557444
    0.029433    -0.38747  0.00149456    0.713988    0.554012
   0.0289915    -0.38992  0.00134721    0.722453     0.55022
   0.0285567   -0.385547  0.00158703     0.72182    0.549425
   0.0281283   -0.383847   0.0018009    0.713636    0.546799
   0.0277064   -0.384048  0.00143812    0.714462    0.551834
   0.0272908    -0.39368  0.00168572    0.711244    0.558425
   0.0268814    -0.39368  0.00168572    0.711244    0.558425
   0.0264782   -0.397126  0.00113292    0.710488    0.566205
    0.026081   -0.405232  0.00121765    0.717833    0.570785
   0.0256898   -0.408694  0.00112895    0.718313    0.578485
   0.0253045   -0.415632  0.00108557    0.725826    0.580826
   0.0249249   -0.411916  0.00119442    0.722928    0.579292
    0.024551   -0.414618  0.00101115    0.723378    0.581428
   0.0241828   -0.414618  0.00101115    0.723378    0.581428
     0.02382   -0.418407   0.0012001    0.730517     0.58411
   0.0234627   -0.422087  0.00128486    0.730063    0.589908
   0.0231108   -0.418914   0.0010592    0.730686    0.584948
   0.0227641    -0.41851  0.00124938    0.736158    0.577485
   0.0224227    -0.41851  0.00124938    0.736158    0.577485
   0.0220863   -0.422199  0.00113537     0.74271    0.579929
    0.021755   -0.422199  0.00113537     0.74271    0.579929
   0.0214287   -0.423316  0.00121202    0.746008    0.577394
   0.0211073   -0.417098  0.00138677    0.745522    0.571374
