#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
          15   -0.529658   -0.529766 0.000142441
          16   -0.530461   -0.529809 0.000140006
          17   -0.529454   -0.529788  0.00013332
          18   -0.530323   -0.529818 0.000129183
          19   -0.529849   -0.529819 0.000122394
          20   -0.529975   -0.529827 0.000116521
           1   -0.511272   -0.511272           0
           2   -0.511575   -0.511424  0.00010696
           3   -0.511579   -0.511475 8.28463e-05
           4   -0.511903   -0.511582 0.000111581
           5   -0.511746   -0.511615 9.39452e-05
           6   -0.511379   -0.511576 8.61167e-05
           7   -0.511697   -0.511593  7.5533e-05
           8   -0.511853   -0.511626 7.27481e-05
           9   -0.510875   -0.511542 0.000101789
          10   -0.511592   -0.511547 9.17312e-05
          11   -0.511431   -0.511537 8.39962e-05
          12   -0.512842   -0.511645 0.000129551
          13     -0.5117    -0.51165 0.000119653
          14   -0.511671   -0.511651 0.000111116
          15   -0.512478   -0.511706 0.000116573
          16   -0.510994   -0.511662 0.000117481
          17   -0.511126    -0.51163  0.00011472
          18   -0.511248   -0.511609 0.000110298
          19   -0.511314   -0.511593 0.000105577
          20   -0.511405   -0.511584 0.000100717
           1   -0.494484   -0.494484           0
           2   -0.495182   -0.494833 0.000246789
           3   -0.495214    -0.49496 0.000194499
           4   -0.494256   -0.494784 0.000210976
           5   -0.494098   -0.494647 0.000208703
           6   -0.494061   -0.494549 0.000195401
           7   -0.494454   -0.494536 0.000167958
           8   -0.493471   -0.494403 0.000192584
           9   -0.494434   -0.494406 0.000171219
          10   -0.494041    -0.49437 0.000157938
          11    -0.49402   -0.494338 0.000146747
          12   -0.493812   -0.494294 0.000140911
          13   -0.494814   -0.494334 0.000135633
          14   -0.495183   -0.494395 0.000138848
          15   -0.494861   -0.494426  0.00013302
          16   -0.493392   -0.494361 0.000139527
          17   -0.493899   -0.494334 0.000133939
          18   -0.493878   -0.494309  0.00012887
          19   -0.494685   -0.494328 0.000123603
          20   -0.494169    -0.49432  0.00011768
           1   -0.477745   -0.477745           0
           2   -0.479447   -0.478596 0.000601708
           3   -0.478799   -0.478664 0.000404953
           4   -0.479841   -0.478958 0.000396441
           5   -0.477457   -0.478658 0.000415516
           6   -0.478676   -0.478661 0.000346274
           7   -0.477683   -0.478521  0.00032374
           8   -0.478233   -0.478485 0.000285275
           9   -0.477322   -0.478356 0.000281321
          10   -0.478821   -0.478402  0.00025701
          11   -0.477726   -0.478341 0.000240899
          12   -0.478097   -0.478321  0.00022168
          13     -0.4777   -0.478273 0.000209703
          14     -0.4781    -0.47826 0.000195088
          15   -0.477803    -0.47823 0.000184454
          16   -0.478334   -0.478236 0.000173039
          17   -0.478241   -0.478237 0.000162861
          18   -0.479234   -0.478292 0.000162956
          19   -0.477709   -0.478261 0.000157242
          20    -0.47789   -0.478243 0.000150469
           1   -0.463214   -0.463214           0
           2   -0.462628   -0.462921 0.000207177
           3   -0.462257     -0.4627 0.000227423
           4   -0.462564   -0.462666 0.000173074
           5   -0.462811   -0.462695 0.000140879
           6    -0.46227   -0.462624 0.000134067
           7    -0.46314   -0.462698 0.000133661
           8   -0.463585   -0.462809 0.000156317
           9   -0.463037   -0.462834 0.000140995
          10   -0.463648   -0.462916 0.000148554
          11   -0.463056   -0.462928 0.000135593
          12   -0.462166   -0.462865 0.000138388
          13   -0.462728   -0.462854 0.000128144
          14   -0.462473   -0.462827 0.000121846
          15   -0.462092   -0.462778 0.000123192
          16   -0.462619   -0.462768 0.000115893
          17   -0.462631    -0.46276 0.000109354
          18    -0.46292   -0.462769 0.000103639
          19   -0.462643   -0.462762 9.83963e-05
          20   -0.462387   -0.462743 9.52523e-05
