#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           6   0.0313232   0.0300999 0.000740139
           7    0.029166   0.0299665 0.000646316
           8   0.0327092   0.0303093  0.00065013
           9   0.0292708   0.0301939 0.000588044
          10   0.0283436   0.0300089 0.000557591
          11   0.0292764   0.0299423 0.000510861
          12   0.0322056   0.0301309 0.000501901
          13   0.0266852   0.0298658 0.000528668
          14   0.0282712   0.0297519 0.000503027
          15   0.0291732   0.0297134 0.000470969
          16   0.0326772   0.0298986 0.000476572
          17   0.0293052   0.0298637 0.000449815
          18   0.0232756   0.0294977  0.00055407
          19   0.0293756   0.0294913 0.000524946
          20   0.0302036   0.0295269 0.000499906
           1   0.0268684   0.0268684           0
           2   0.0269292   0.0268988  2.1496e-05
           3    0.025706   0.0265012 0.000324955
           4   0.0273364     0.02671 0.000303473
           5    0.026526   0.0266732 0.000244999
           6   0.0292372   0.0271005 0.000440298
           7    0.026774   0.0270539 0.000379861
           8   0.0286848   0.0272577 0.000383198
           9   0.0249812   0.0270048 0.000415809
          10   0.0277352   0.0270778 0.000380589
          11   0.0264156   0.0270176 0.000350719
          12   0.0284824   0.0271397 0.000342075
          13   0.0264168   0.0270841  0.00032025
          14   0.0236624   0.0268397 0.000379341
          15   0.0265776   0.0268222 0.000354454
          16   0.0263848   0.0267949 0.000333353
          17   0.0276836   0.0268472 0.000317817
          18   0.0286304   0.0269462 0.000315223
          19   0.0269428    0.026946 0.000298632
          20   0.0246076   0.0268291 0.000305734
