T:   H:   H_ERR:   MU:   SIGMA:
    0.133417   -0.305712  0.00313959    0.979247     0.58939
    0.131416   -0.346311   0.0031807    0.955164    0.593506
    0.129445   -0.320366  0.00254283    0.954113    0.559345
    0.127503   -0.320366  0.00254283    0.954113    0.559345
     0.12559   -0.361284   0.0033785    0.940753    0.620435
    0.123707   -0.412001  0.00289677    0.885169    0.632458
    0.121851   -0.304704  0.00404617    0.965593    0.658747
    0.120023    -0.29556  0.00636342    0.922321    0.717343
    0.118223   -0.273235  0.00607256    0.854257    0.779796
     0.11645   -0.193609  0.00988038    0.897012    0.794858
    0.114703   -0.215548  0.00844472    0.839579    0.817384
    0.112982    -0.12506   0.0122854     0.88626    0.839437
    0.111288    -0.12506   0.0122854     0.88626    0.839437
    0.109618   -0.111589  0.00774122    0.957008    0.778992
    0.107974  -0.0452439   0.0131766    0.901688    0.857637
    0.106354   0.0106399   0.0124434     0.94346    0.838165
    0.104759   -0.156652  0.00917734    0.866135    0.834678
    0.103188   -0.156806  0.00843133    0.789096    0.892848
     0.10164   -0.256656  0.00851074    0.759427    0.836597
    0.100115    -0.33794  0.00488781    0.681324    0.775972
   0.0986135    -0.34616  0.00407127     0.65907    0.763141
   0.0971343   -0.328613  0.00476395    0.720214    0.792217
   0.0956773   -0.360735   0.0054991     0.79444    0.744412
   0.0942421   -0.398575  0.00333956    0.866888    0.673831
   0.0928285   -0.296308  0.00522392    0.910099    0.721216
   0.0914361   -0.353944  0.00430282    0.832774    0.737728
   0.0900645   -0.353944  0.00430282    0.832774    0.737728
   0.0887136   -0.333248  0.00479692    0.849088    0.743918
   0.0873829   -0.349123  0.00525961    0.841825    0.737274
   0.0860721   -0.282686   0.0059745    0.827604    0.786941
    0.084781   -0.282686   0.0059745    0.827604    0.786941
   0.0835093   -0.367819  0.00554134    0.827612    0.724048
   0.0822567   -0.367819  0.00554134    0.827612    0.724048
   0.0810228   -0.367819  0.00554134    0.827612    0.724048
   0.0798075   -0.369212  0.00468092    0.807239    0.736641
   0.0786104   -0.354817  0.00506685     0.84875    0.722227
   0.0774312   -0.379337  0.00408866    0.881609    0.683663
   0.0762698   -0.379337  0.00408866    0.881609    0.683663
   0.0751257   -0.357252  0.00442834    0.925742    0.665195
   0.0739988   -0.423853  0.00243414    0.862808    0.636446
   0.0728888   -0.443633  0.00179588    0.786439    0.616197
   0.0717955   -0.443633  0.00179588    0.786439    0.616197
   0.0707186   -0.438032  0.00175055    0.772499     0.61132
   0.0696578   -0.435417  0.00210193    0.806476     0.66066
   0.0686129   -0.361969  0.00464001    0.880884    0.694948
   0.0675837   -0.445505  0.00166785    0.807036    0.621628
     0.06657   -0.383689  0.00416953    0.879336     0.68408
   0.0655714   -0.424414   0.0023281    0.875006    0.623226
   0.0645879   -0.442243  0.00236461     0.82592    0.617732
    0.063619   -0.442243  0.00236461     0.82592    0.617732
   0.0626648   -0.444987  0.00203481    0.792586    0.607267
   0.0617248   -0.440219  0.00147948    0.825824    0.604049
   0.0607989   -0.435046  0.00202995    0.774192    0.588285
   0.0598869   -0.435046  0.00202995    0.774192    0.588285
   0.0589886   -0.413706  0.00184732    0.727739    0.576513
   0.0581038   -0.401355  0.00135247    0.713976     0.56884
   0.0572322   -0.427025  0.00149699    0.725447    0.642419
   0.0563738   -0.423823  0.00128679    0.727815    0.615862
   0.0555282   -0.415079  0.00197912    0.748409    0.680771
   0.0546952   -0.415079  0.00197912    0.748409    0.680771
   0.0538748   -0.415079  0.00197912    0.748409    0.680771
   0.0530667    -0.44231  0.00155603    0.782419    0.620988
   0.0522707   -0.437006  0.00201018    0.798863    0.647575
   0.0514866   -0.382934  0.00369596    0.829021    0.713624
   0.0507143   -0.391712  0.00497456    0.848379    0.692147
   0.0499536    -0.39896  0.00342021    0.897712    0.641245
   0.0492043   -0.421852  0.00203439    0.848605    0.572134
   0.0484662   -0.421852  0.00203439    0.848605    0.572134
   0.0477392   -0.366905  0.00256024    0.904912     0.55408
   0.0470232   -0.366905  0.00256024    0.904912     0.55408
   0.0463178   -0.366905  0.00256024    0.904912     0.55408
    0.045623   -0.426963   0.0016384    0.858803    0.593017
   0.0449387   -0.402686   0.0022236    0.902769    0.602352
   0.0442646   -0.402686   0.0022236    0.902769    0.602352
   0.0436006   -0.386582  0.00220637    0.915989     0.58502
   0.0429466   -0.386582  0.00220637    0.915989     0.58502
   0.0423024   -0.407009  0.00211379    0.894646    0.613305
   0.0416679   -0.411919  0.00361233    0.823053    0.674801
   0.0410429   -0.411919  0.00361233    0.823053    0.674801
