#     BLOCK:  ACTUAL_PSI:     PSI_AVE:      ERROR:
           9       -1.95  0.00137778 1.79331e-07
           9       -1.85  0.00218889 2.97618e-07
           9       -1.75  0.00346667 3.92915e-07
           9       -1.65      0.0058  1.8086e-07
           9       -1.55  0.00845556 3.70556e-07
           9       -1.45   0.0119778  5.4753e-07
           9       -1.35   0.0181444 2.26546e-07
           9       -1.25   0.0219778 9.91457e-07
           9       -1.15   0.0288556 9.76388e-07
           9       -1.05   0.0346889 1.16228e-06
           9       -0.95   0.0399333 1.29562e-06
           9       -0.85      0.0399 9.32097e-07
           9       -0.75   0.0423444 1.85119e-06
           9       -0.65      0.0419  1.0343e-06
           9       -0.55      0.0401 8.68515e-07
           9       -0.45   0.0364444 1.13539e-06
           9       -0.35   0.0340444 1.47924e-06
           9       -0.25   0.0302667 1.05752e-06
           9       -0.15      0.0297 1.14526e-06
           9       -0.05   0.0288111 9.12543e-07
           9        0.05   0.0278444  1.0086e-06
           9        0.15   0.0299889 9.80861e-07
           9        0.25   0.0315556 8.67246e-07
           9        0.35   0.0345778 9.01386e-07
           9        0.45   0.0375444 1.12144e-06
           9        0.55   0.0379556 1.10833e-06
           9        0.65   0.0397222 1.43067e-06
           9        0.75   0.0450222 9.66011e-07
           9        0.85      0.0413 1.13439e-06
           9        0.95   0.0385333 1.13418e-06
           9        1.05   0.0346111 8.08591e-07
           9        1.15   0.0271778 9.87199e-07
           9        1.25   0.0226222 7.60149e-07
           9        1.35   0.0181333 8.96731e-07
           9        1.45   0.0116778 6.22902e-07
           9        1.55  0.00832222 4.06791e-07
           9        1.65  0.00538889 4.59878e-07
           9        1.75      0.0033 1.78793e-07
           9        1.85  0.00185556 2.50444e-07
           9        1.95 0.000955556 1.92225e-07
          10       -1.95     0.00142 1.66195e-07
          10       -1.85     0.00211 2.77957e-07
          10       -1.75     0.00338 3.62835e-07
          10       -1.65     0.00561  2.4294e-07
          10       -1.55     0.00848 3.34074e-07
          10       -1.45     0.01202 4.94061e-07
          10       -1.35     0.01815 2.03817e-07
          10       -1.25     0.02239 9.73846e-07
          10       -1.15     0.02895 8.82702e-07
          10       -1.05     0.03467 1.04547e-06
          10       -0.95     0.03995 1.16535e-06
          10       -0.85     0.04025 9.01797e-07
          10       -0.75     0.04235 1.66492e-06
          10       -0.65     0.04179 9.36064e-07
          10       -0.55     0.04023 7.90813e-07
          10       -0.45     0.03592 1.13613e-06
          10       -0.35      0.0339 1.33744e-06
          10       -0.25     0.03083 1.09125e-06
          10       -0.15     0.02979 1.03356e-06
          10       -0.05     0.02921 9.03928e-07
          10        0.05     0.02742 9.92636e-07
          10        0.15     0.03021 9.06807e-07
          10        0.25     0.03127 8.25778e-07
          10        0.35     0.03429 8.55511e-07
          10        0.45      0.0371 1.09336e-06
          10        0.55     0.03833 1.05833e-06
          10        0.65     0.03951 1.30239e-06
          10        0.75      0.0448 8.94068e-07
          10        0.85      0.0415 1.03777e-06
          10        0.95      0.0382 1.06804e-06
          10        1.05     0.03503 8.28928e-07
          10        1.15     0.02714 8.88581e-07
          10        1.25     0.02258 6.84829e-07
          10        1.35     0.01803 8.12442e-07
          10        1.45     0.01158 5.67864e-07
          10        1.55     0.00822 3.78517e-07
          10        1.65     0.00558 4.51673e-07
          10        1.75     0.00331 1.61081e-07
          10        1.85       0.002 2.63729e-07
          10        1.95     0.00101 1.80448e-07
          11       -1.95  0.00140909 1.51657e-07
          11       -1.85  0.00217273 2.60049e-07
          11       -1.75  0.00335455 3.31208e-07
          11       -1.65  0.00554545 2.29609e-07
          11       -1.55      0.0083 3.49424e-07
          11       -1.45   0.0121182 4.59464e-07
          11       -1.35   0.0182636 2.15003e-07
          11       -1.25   0.0228182 9.76469e-07
          11       -1.15   0.0289182 8.04158e-07
          11       -1.05   0.0351545 1.05847e-06
          11       -0.95   0.0397182 1.08379e-06
          11       -0.85   0.0405909 8.83272e-07
          11       -0.75   0.0424182 1.51708e-06
          11       -0.65   0.0415091 8.93463e-07
          11       -0.55   0.0400455 7.41226e-07
          11       -0.45       0.036 1.03712e-06
          11       -0.35   0.0334273  1.2987e-06
          11       -0.25   0.0311182 1.03092e-06
          11       -0.15   0.0295545 9.67457e-07
          11       -0.05   0.0289909 8.49136e-07
          11        0.05   0.0271273  9.4599e-07
          11        0.15   0.0304273 8.51249e-07
          11        0.25   0.0308727 8.42225e-07
          11        0.35   0.0340545 8.10695e-07
          11        0.45   0.0371273 9.95697e-07
          11        0.55   0.0389455 1.12887e-06
          11        0.65   0.0396545 1.19368e-06
          11        0.75   0.0444182 8.92008e-07
          11        0.85   0.0419091 1.02248e-06
          11        0.95   0.0381818 9.72463e-07
          11        1.05   0.0347818 7.91037e-07
          11        1.15   0.0272727 8.18823e-07
